ID,Rank (Temp),User,Rank,Score,SS,SSW,Place,Set Win Rate,Game Win Rate,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Color,Color_Alt,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Sets Played,Tourneys Played
121,30,Coolbe,30,61.135,83.7565,79.526,78.95,75,66.67,100,---,---,---,---,---,0,---,---,100,---,100,0,---,---,---,---,50,---,100,---,100,---,---,---,9EE1F5,2AB3D6,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,4,1
140,31,Candy,31,60.923,74.5162,60.927,64.585,60,48.48,50,---,---,50,---,---,25,---,---,33.33,---,50,60,---,---,---,---,66.67,---,0,---,66.67,---,---,---,9EE1F5,2AB3D6,4,0,0,4,0,0,4,0,0,3,0,2,5,0,0,0,0,6,0,2,0,3,0,0,0,10,2
160,32,LKFrano,32,60.485,64.594,56.345,60,75,66.67,100,---,---,100,---,---,0,---,---,100,---,100,0,---,---,---,---,100,---,---,---,---,50,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,4,1
123,33,kypy,33,60.182,68.3248,61.548,73.68,80,76.92,100,---,---,100,---,---,100,---,---,100,---,50,100,---,---,---,---,100,---,0,---,50,---,---,---,9EE1F5,2AB3D6,2,0,0,1,0,0,1,0,0,2,0,2,1,0,0,0,0,1,0,1,0,2,0,0,0,5,1
134,34,boby,34,59.83,76.31167,76.312,100,100,80,---,---,---,50,---,---,100,---,---,100,---,---,0,---,---,---,---,100,---,100,---,100,---,---,---,9EE1F5,2AB3D6,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,3,1
148,35,pierrot,35,58.911,78.934,62.69,58.46,50,53.33,80,---,---,66.67,---,---,66.67,---,---,50,---,75,0,---,---,---,---,20,---,100,---,33.33,33.33,---,---,9EE1F5,2AB3D6,5,0,0,3,0,0,3,0,0,2,0,4,1,0,0,0,0,5,0,1,0,3,3,0,0,8,2
129,36,bishop,36,58.368,73.5026,73.503,100,100,85.71,100,---,---,100,---,---,---,---,---,100,---,---,---,---,---,---,---,100,---,100,---,0,---,---,---,9EE1F5,2AB3D6,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,5,1
94,37,Tacos!,37,58.361,75.82475,71.658,88.89,75,69.23,100,---,---,100,---,---,66.67,---,---,100,---,0,100,---,---,---,---,---,---,0,---,50,---,---,---,9EE1F5,2AB3D6,2,0,0,1,0,0,3,0,0,1,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,4,1
135,38,wyl_,38,58.166,74.78856,61.827,58.335,55.56,56.52,33.33,---,---,50,---,---,100,---,---,0,---,---,75,---,---,---,0,33.33,---,100,---,50,100,---,---,9EE1F5,2AB3D6,3,0,0,4,0,0,2,0,0,1,0,0,4,0,0,0,1,3,0,2,0,2,1,0,0,9,2
14,39,Tuna,39,57.715,71.053,58.972,46.167,42.22,45,40,---,75,42.86,---,---,30.77,---,100,57.14,---,41.67,53.33,---,---,50,60,50,100,45.45,---,45.45,14.29,---,20,9EE1F5,2AB3D6,5,0,4,7,0,0,13,0,1,7,0,12,15,0,0,2,5,14,1,11,0,11,7,0,5,45,11
1,40,Finazon,40,57.62,65.975,51.084,39.626,48.57,51.65,66.67,---,0,44.44,---,---,75,---,100,66.67,---,45.45,22.22,---,---,---,100,33.33,---,20,---,85.71,100,0,---,9EE1F5,2AB3D6,12,0,1,9,0,0,8,0,1,6,0,11,9,0,0,0,2,9,0,10,0,7,4,2,0,35,8
127,41,meigi,41,56.405,73.43151,61.473,51.0755,47.37,46.3,20,---,---,60,---,---,40,---,---,57.14,---,40,16.67,---,---,---,100,28.57,---,57.14,---,100,50,---,---,9EE1F5,2AB3D6,5,0,0,5,0,0,5,0,0,7,0,5,6,0,0,0,1,7,0,7,0,4,2,0,0,19,4
95,42,Jasmine,42,56.326,68.1726,63.135,77.78,80,73.33,100,---,---,100,---,---,50,---,---,66.67,---,50,66.67,---,---,---,---,100,---,---,---,100,---,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,2,0,0,3,0,2,3,0,0,0,0,1,0,0,0,2,0,0,0,5,1
96,42,Zoyo,42,56.326,68.1726,63.135,77.78,80,73.33,100,---,---,100,---,---,50,---,---,66.67,---,50,66.67,---,---,---,---,100,---,---,---,100,---,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,2,0,0,3,0,2,3,0,0,0,0,1,0,0,0,2,0,0,0,5,1
164,44,Bau,44,54.712,79.4415,66.751,66.67,50,46.67,0,---,100,100,---,---,0,---,---,50,---,100,0,---,---,---,100,---,---,100,---,100,0,---,---,9EE1F5,2AB3D6,2,0,1,1,0,0,2,0,0,2,0,1,2,0,0,0,1,0,0,1,0,1,1,0,0,4,1
15,45,Cafy,45,52.32,62.102,34.491,38.205,53.33,53.49,50,---,---,25,---,---,0,---,66.67,50,---,60,66.67,---,---,100,0,66.67,---,50,---,75,---,---,---,9EE1F5,2AB3D6,2,0,0,4,0,0,2,0,3,2,0,5,6,0,0,1,2,6,0,6,0,4,0,0,0,15,4
131,46,HYPERFRESH,46,51.971,77.1572,66.371,42.22,42.86,47.62,33.33,---,100,0,---,---,50,---,---,0,---,100,---,100,---,---,---,100,---,33.33,---,0,66.67,---,---,9EE1F5,2AB3D6,3,0,1,1,0,0,2,0,0,3,0,1,0,1,0,0,0,2,0,3,0,1,3,0,0,7,2
191,47,roxymoron,47,51.864,70.5585,48.858,66.67,50,41.67,---,---,50,0,---,---,0,---,---,---,---,0,50,---,---,---,100,0,---,100,---,---,100,---,---,9EE1F5,2AB3D6,0,0,2,1,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,4,1
192,47,CommaTOSU,47,51.864,70.5585,48.858,66.67,50,41.67,---,---,50,0,---,---,0,---,---,---,---,0,50,---,---,---,100,0,---,100,---,---,100,---,---,9EE1F5,2AB3D6,0,0,2,1,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,4,1
157,49,Lucky,49,51.735,87.614,74.873,70,40,35.71,0,---,---,0,---,---,50,---,---,---,---,50,50,---,---,---,---,---,---,---,---,---,100,---,---,9EE1F5,2AB3D6,2,0,0,3,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,5,1
125,50,houdini,50,50.623,70.4735,60.66,63.16,66.67,55.56,100,---,---,50,---,---,0,---,---,50,---,0,100,---,---,---,---,50,---,100,---,75,---,---,---,9EE1F5,2AB3D6,2,0,0,2,0,0,2,0,0,2,0,2,1,0,0,0,0,2,0,1,0,4,0,0,0,6,1
88,51,Leniah,51,50.536,78.00333,67.005,63.64,66.67,75,100,---,---,100,---,---,50,---,---,100,---,100,---,---,---,---,---,50,---,---,---,---,---,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1
105,52,PocketAsparagus,52,50.457,69.10006,51.946,36.59108,41.94,43.59,33.33,---,---,33.33,---,---,50,---,---,25,---,62.5,45.45,---,---,---,---,55.56,---,50,---,33.33,100,---,---,9EE1F5,2AB3D6,6,0,0,9,0,0,8,0,0,8,0,8,11,0,0,0,0,9,0,6,0,12,1,0,0,31,7
172,53,VelocityX9,53,50.016,58.1726,36.04,50,60,58.33,---,---,100,50,---,---,50,---,---,50,---,100,---,---,---,---,100,0,---,---,---,100,0,---,---,9EE1F5,2AB3D6,0,0,1,2,0,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,5,1
173,53,Utsu,53,50.016,58.1726,36.04,50,60,58.33,---,---,100,50,---,---,50,---,---,50,---,100,---,---,---,---,100,0,---,---,---,100,0,---,---,9EE1F5,2AB3D6,0,0,1,2,0,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,5,1
11,55,Nof24,55,48.771,58.924,55.933,80.664,70,58.62,75,---,---,75,---,---,0,---,0,100,---,100,50,---,---,---,0,100,---,100,---,0,---,---,100,9EE1F5,2AB3D6,4,0,0,4,0,0,1,0,1,1,0,2,8,0,0,0,1,1,0,2,0,3,0,0,1,10,2
154,56,Melon,56,48.582,64.72075,36.802,60,50,50,100,---,---,100,---,---,100,---,---,0,---,100,0,---,---,---,---,0,---,---,---,---,0,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4,1
